Province,Regency/City,Sub-District,Geocoder,Location,Latitude,Longitude
Bali,Kabupaten Buleleng,Lemukih,"Lemukih, Bali, Indonesia","Lemukih, Bali, Indonesia",-8.1910529,115.1875157
Bali,Kabupaten Buleleng,Menyali,"Menyali, Bali, Indonesia","Menyali, Bali, Indonesia",-8.1467147,115.1820934
Bali,Kabupaten Buleleng,Sangsit,"Sangsit, Bali, Indonesia","Sangsit, Bali, Indonesia",-8.1160774,115.1618176
Bali,Kabupaten Buleleng,Sinabun,"Sinabun, Bali, Indonesia","Sinabun, Bali, Indonesia",-8.131338,115.1579544
Bali,Kabupaten Buleleng,Gunungsari,"Gunungsari, Bali, Indonesia","Gunungsari, Bali, 82152, Indonesia",-8.3616093,115.1331916
Bali,Kabupaten Buleleng,Joanyar,"Joanyar, Bali, Indonesia","Joanyar, Bali, Indonesia",-8.2006483,114.9535522
Bali,Kabupaten Buleleng,Kalisada,"Kalisada, Bali, Indonesia","Kalisada, Bali, Indonesia",-8.197577,114.8887967
Bali,Kabupaten Buleleng,Rangdu,"Rangdu, Bali, Indonesia","Rangdu, Bali, Indonesia",-8.2129428,114.9389594
Bali,Kabupaten Buleleng,Seririt,"Seririt, Bali, Indonesia","Seririt, Bali, Indonesia",-8.193144,114.9342652
Bali,Kabupaten Buleleng,Sulanyah,"Sulanyah, Bali, Indonesia","Sulanyah, Bali, Indonesia",-8.1967829,114.9437675
Bali,Kabupaten Buleleng,Pancasari,"Pancasari, Bali, Indonesia","Pancasari, Monkey Street, Wana Giri, Bali, 81162, Indonesia",-8.2507591,115.1524202
Bali,Kabupaten Buleleng,Selat,"Selat, Bali, Indonesia","Selat, Bali, Indonesia",-8.4356426,115.4754816
Bali,Kabupaten Buleleng,Bondalem,"Bondalem, Bali, Indonesia","Bondalem, Bali, 81173, Indonesia",-8.116913,115.3133619
Bali,Kabupaten Buleleng,Madenan,"Madenan, Bali, Indonesia","Madenan, Bali, 81173, Indonesia",-8.1485874,115.3070712
Bali,Kabupaten Buleleng,Pacung,"Pacung, Bali, Indonesia","Pacung, Bali, Indonesia",-8.1098925,115.292822
Bali,Kabupaten Buleleng,Penuktukan,"Penuktukan, Bali, Indonesia","Penuktukan, Bali, 81173, Indonesia",-8.1418918,115.3858968
Bali,Kabupaten Buleleng,Sambirenteng,"Sambirenteng, Bali, Indonesia","Sambirenteng, Bali, Indonesia",-8.1452225,115.3974582
Bali,Kota Denpasar,Dauh Puri,"Dauh Puri, Bali, Indonesia","Dauh Puri, Denpasar Barat, Denpasar, Bali, Indonesia",-8.6659464,115.21695525653959
Bali,Kota Denpasar,Dauh Puri Kangin,"Dauh Puri Kangin, Bali, Indonesia","Dauh Puri Kangin, Denpasar Barat, Denpasar, Bali, Indonesia",-8.65845775,115.21570834497828
Bali,Kota Denpasar,Dauh Puri Kauh,"Dauh Puri Kauh, Bali, Indonesia","Dauh Puri Kauh, Denpasar, Bali, 80111, Indonesia",-8.6791849,115.2025966
Bali,Kota Denpasar,Dauh Puri Klod/Kelod,"Dauh Puri Klod/Kelod, Bali, Indonesia","SD Negeri 9/24 Dauh Puri, Jalan Serma Made Pil, Dauh Puri Kelod, Denpasar Barat, Denpasar, Bali, 80210, Indonesia",-8.6752501,115.21692083214637
Bali,Kota Denpasar,Padangsambian,"Padangsambian, Bali, Indonesia","Padangsambian, Denpasar, Bali, 80117, Indonesia",-8.6551368,115.1873253
Bali,Kota Denpasar,Padangsambian Klod/Kelod,"Padangsambian Klod/Kelod, Bali, Indonesia","Gereja Sidang Jemaat Allah di Indonesia, 10B, Jalan Teuku Umar Barat, Pemecutan Kelod, Denpasar Barat, Denpasar, Bali, 80119, Indonesia",-8.6819367,115.1922233
Bali,Kota Denpasar,Pemecutan,"Pemecutan, Bali, Indonesia","Pemecutan, Denpasar Barat, Denpasar, Bali, 80118, Indonesia",-8.6580128,115.20633024914844
Bali,Kota Denpasar,Pemecutan Klod/Kelod,"Pemecutan Klod/Kelod, Bali, Indonesia","Gang Mirah Pemecutan 1, Pemecutan Kelod, Denpasar Barat, Denpasar, Bali, 80113, Indonesia",-8.6679563,115.2033598
Bali,Kota Denpasar,Tegal Harum,"Tegal Harum, Bali, Indonesia","Tegal Harum, Denpasar Barat, Denpasar, Bali, Indonesia",-8.667328000000001,115.19541683634995
Bali,Kota Denpasar,Tegal Kertha,"Tegal Kertha, Bali, Indonesia","Tegal Kertha, Denpasar Barat, Denpasar, Bali, Indonesia",-8.6580128,115.19673479272666
Bali,Kota Denpasar,Panjer,"Panjer, Bali, Indonesia","Panjer, Denpasar, Bali, 80225, Indonesia",-8.6850181,115.2285516
Bali,Kota Denpasar,Pedungan,"Pedungan, Bali, Indonesia","Pedungan, Denpasar, Bali, 80222, Indonesia",-8.7123123,115.2134293
Bali,Kota Denpasar,Pemogan,"Pemogan, Bali, Indonesia","Pemogan, Denpasar, Bali, 80221, Indonesia",-8.7132661,115.1972718
Bali,Kota Denpasar,Renon,"Renon, Bali, Indonesia","Renon, Denpasar, Bali, 80224, Indonesia",-8.6867582,115.241215
Bali,Kota Denpasar,Sanur,"Sanur, Bali, Indonesia","Sanur, Jalan Bajang Sari, Sanur, Denpasar Selatan, Denpasar, Bali, 8022, Indonesia",-8.6831728,115.2564626
Bali,Kota Denpasar,Sanur Kaja,"Sanur Kaja, Bali, Indonesia","Sanur Kaja, Denpasar, Bali, 80030, Indonesia",-8.6731387,115.2552042
Bali,Kota Denpasar,Sanur Kauh,"Sanur Kauh, Bali, Indonesia","Sanur Kauh, Denpasar, Bali, 80227, Indonesia",-8.7006429,115.2509369
Bali,Kota Denpasar,Sesetan,"Sesetan, Bali, Indonesia","Sesetan, Denpasar, Bali, 80223, Indonesia",-8.7070613,115.22279
Bali,Kota Denpasar,Sidakarya,"Sidakarya, Bali, Indonesia","Sidakarya, Denpasar, Bali, 80224, Indonesia",-8.7063221,115.2348154
Bali,Kota Denpasar,Dangin Puri,"Dangin Puri, Bali, Indonesia","Dangin Puri, Denpasar, Bali, 80232, Indonesia",-8.6576934,115.2213049
Bali,Kota Denpasar,Dangin Puri Klod,"Dangin Puri Klod, Bali, Indonesia","Dangin Puri Klod, Denpasar, Bali, 80210, Indonesia",-8.6675003,115.2240004
Bali,Kota Denpasar,Kesiman Kertalangu,"Kesiman Kertalangu, Bali, Indonesia","Kesiman Kertalangu, Denpasar, Bali, 80035, Indonesia",-8.645412,115.2590183
Bali,Kota Denpasar,Kesiman Petilan,"Kesiman Petilan, Bali, Indonesia","Kesiman Petilan, Denpasar, Bali, 80237, Indonesia",-8.659003,115.2550663
Bali,Kota Denpasar,Penatih,"Penatih, Bali, Indonesia","Penatih, Denpasar, Bali, 80238, Indonesia",-8.6206785,115.2366523
Bali,Kota Denpasar,Penatih Dangin Puri,"Penatih Dangin Puri, Bali, Indonesia","Penatih Dangin Puri, Denpasar, Bali, 80238, Indonesia",-8.6232685,115.2479224
Bali,Kota Denpasar,Sumerta,"Sumerta, Bali, Indonesia","Sumerta, Denpasar, Bali, 80233, Indonesia",-8.6509299,115.2361603
